Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Cflavomarginata_MVZ230464,Museum of Vertebrate Zoology,JQ596016,JQ596056,JQ596096,JQ596136,JQ596176,EF011283,JQ596225,JQ596399,JQ596363,EF011433,JQ596445,JQ596492,JQ596531,JQ596569,JQ596607
Cfusca_CAS210070,California Academy of Sciences,JN797882,JN797929,MT959217,JN797898,JN797945,JN797987,JN797914,MT964990,JN798002,AM931701,MT961729,JN798030,JN798060,MT963085,MT963454
Cgalbinifrons_FMNH255694,Field Museum of Natural History,JQ596017,JQ596057,JQ596097,JQ596137,JQ596177,EF011285,JQ596226,JQ596400,JQ596364,EF011435,JQ596446,JQ596493,JQ596532,JQ596570,JQ596608
Cgalbinifrons_FMNH256544,Field Museum of Natural History,JQ596018,JQ596058,JQ596098,JQ596138,JQ596178,EF011286,JQ596227,JQ596401,JQ596365,EF011436,JQ596447,JQ596494,JQ596533,JQ596571,JQ596609
Cguttata_FMNH265273,Field Museum of Natural History,KX558368,KX558855,KX558332,KX558931,KX559048,FJ770630,KX559195,KX558783,KX558679,FJ770674,FJ770719,KX559229,FJ770809,FJ770855,KX559081
Cguttata_MVZ175961,Museum of Vertebrate Zoology,KX558369,KX558856,KC181165,KX558932,MT965047,FJ770629,KX559196,MT964582,KX558680,FJ770673,FJ770718,MT962159,FJ770808,FJ770854,MT963457
Choodensis_HBS117531,H.B Shaffer Collection,MT958327,MT963999,MT959162,MT959401,MT965129,MT959926,MT960339,MT964657,MT961027,MT961244,MT961734,MT962163,MT962652,MT963090,MT963461
Choodensis_HBS117532,H.B Shaffer Collection,MT958328,MT964000,MT959163,MT959402,MT965130,MT959927,MT960340,MT964658,MT961042,MT961245,MT961735,MT962164,MT962653,MT963091,MT963462
Cinsculpta_HBS119093,H.B Shaffer Collection,MT958331,MT964003,MT958784,MT959405,MT965015,MT959930,MT960343,MT964476,MT960792,MT961248,MT961737,MT962165,MT962656,MT963092,MT963465
Cmccordi_HBS41892,H.B Shaffer Collection,JQ596019,JQ596059,JQ596099,JQ596139,JQ596179,EF011287,JQ596228,JQ596402,JQ596366,EF011437,JQ596448,JQ596495,JQ596534,JQ596572,JQ596610
Cmccordi_HBS41893,H.B Shaffer Collection,JQ596020,JQ596060,JQ596100,JQ596140,JQ596180,EF011288,JQ596229,JQ596403,JQ596367,EF011438,JQ596449,JQ596496,JQ596535,JQ596573,JQ596611
Cmydas_HBS109887,H.B Shaffer Collection,GU085510,GU085529,GU085548,GU085567,GU085586,EU787076,GU085619,GU085637,GU085655,EU787159,AY687907,GU085695,EU787266,EU787373,GU085836
Cmydas_HBS112690,H.B Shaffer Collection,MT958336,MT964008,MT958899,MT959410,MT965018,MT959933,MT960346,MT964942,MT960921,MT961253,MT961743,MT962170,MT962662,MT963096,MT963471
Coldhami_USNMFS35571,United States National Museum,MT958340,MT964012,MT959226,MT959414,MT965220,MT959935,MT960347,MT964723,MT961172,MT961257,MT961747,MT962174,MT962666,MT963100,MT963475
Cpani_HBS117865,H.B Shaffer Collection,MT958341,MT964013,MT959223,MT959415,MT965182,MT959936,MT960348,MT964713,MT961124,MT961258,MT961748,MT962175,MT962667,MT963101,MT963476
Cpani_HBS41890,H.B Shaffer Collection,JQ596023,JQ596063,JQ596103,JQ596143,JQ596183,EF011293,JQ596232,JQ596406,JQ596368,EF011441,JQ596452,JQ596499,JQ596538,JQ596574,JQ596614
Cpicta_HBS27134,H.B Shaffer Collection,KX558370,KX558857,KX558333,KX558933,KX559050,FJ770627,KX559197,MG728558,KX558681,FJ770671,FJ770716,KX559231,FJ770806,FJ770852,KX559083
Cpicta_HBS27448,H.B Shaffer Collection,MT958345,MT964017,MT958933,MT959419,MT965058,FJ770628,MT960350,MT964565,MT960784,FJ770672,FJ770717,MT962179,FJ770807,FJ770853,MT963480
Cpicta_RCT428,Robert Thomson Collection,KX558371,KX558858,MG728119,MG728174,MG728284,MG728339,KC688087,KC687670,KX558682,KX559321,MT961751,MG728667,KX558716,MG728829,MT963481
Cpicturata_FMNH261575,Field Museum of Natural History,JQ596025,JQ596065,JQ596105,JQ596145,JQ596185,EF011295,JQ596234,JQ596408,JQ596369,EF011443,JQ596454,JQ596501,JQ596540,JQ596576,JQ596615
Cporteri_HBS117537,H.B Shaffer Collection,MT958347,MT964019,MT959166,MT959421,MT965132,MT959940,MT960352,MT964659,MT961030,MT961262,MT961752,MT962181,MT962671,MT963105,MT963482
Cporteri_HBS117538,H.B Shaffer Collection,MT958348,MT964020,MT959164,MT959422,MT965131,MT959941,MT960353,MT964660,MT961029,MT961263,MT961753,MT962182,MT962672,MT963106,MT963483
Cserpentina_HBS23551,H.B Shaffer Collection,GU085512,GU085531,GU085550,GU085569,GU085588,GU085606,GU085621,GU085639,GU085657,AY742461,AY687906,GU085697,EU907535,MT963114,GU085838
Cserpentina_HBS39713,H.B Shaffer Collection,MT958356,MT964029,MT958910,MT959431,MT965025,MT959945,MT960356,MT964547,MT960899,AY905231,MT961759,MT962190,MT962681,MT963115,MT963492
Ctrifasciata_KFBG030278065,Kadoorie Farms and Botanic Gardens,JQ596036,JQ596076,JQ596116,JQ596156,JQ596196,EF011312,JQ596245,JQ596419,JQ596379,EF011448,JQ596465,JQ596512,JQ596551,JQ596587,JQ596626
