Individual,collection,AHR,AIING,BDNF,BMP2,HMGB2,HNFL,NB22519,PSMC1,PAX1P1,R35,RAG-1,TB01,TB29,TB73,ZFHX1B
Cangulata_HBS112643,H.B Shaffer Collection,MT958291,MT963961,MT959092,MT959363,MT965106,MT959900,MT960313,MT964635,-,MT961210,MT961703,MT962128,MT962617,MT963062,MT963424
Catripons_FMNH262710,Field Museum of Natural History,MT958292,MT963962,MT959220,MT959364,MT965223,MT959901,MT960314,MT964726,MT961089,MT961211,MT961704,MT962129,MT962618,-,MT963425
Catripons_FMNH262711,Field Museum of Natural History,MT958293,MT963963,MT959221,MT959365,MT965222,MT959902,MT960315,MT964725,MT960756,MT961212,MT961705,MT962130,MT962619,-,MT963426
Caubryi_FMNH98752,Field Museum of Natural History,MT958294,MT963964,MT958816,MT959366,MT965442,-,MT960316,MT964989,-,MT961213,-,MT962131,MT962620,-,MT963427
Caurocapitata_FMNH261570,Field Museum of Natural History,JQ596011,JQ596051,JQ596091,JQ596131,JQ596171,EF011280,JQ596220,JQ596394,JQ596359,EF011430,JQ596440,JQ596487,JQ596526,JQ596564,JQ596602
Caurocapitata_MVZ234642,Museum of Vertebrate Zoology,JQ596012,JQ596052,JQ596092,JQ596132,JQ596172,EF011281,JQ596221,JQ596395,JQ596360,EF011431,JQ596441,JQ596488,JQ596527,JQ596565,JQ596603
Cbourreti_FMNH261574,Field Museum of Natural History,JQ596013,JQ596053,JQ596093,JQ596133,JQ596173,EF011282,JQ596222,JQ596396,-,EF011432,JQ596442,JQ596489,JQ596528,JQ596566,JQ596604
Cbourreti_FMNH261579,Field Museum of Natural History,JQ596014,JQ596054,JQ596094,JQ596134,JQ596174,JQ596208,JQ596223,JQ596397,JQ596361,DQ386658,JQ596443,JQ596490,JQ596529,JQ596567,JQ596605
Cburrungandjii_000670M,University of Canberra Wildlife Tissue Collection,MT958295,MT963965,MT959234,MT959367,MT965301,-,-,MT964849,MT960940,MT961214,MT961706,MT962132,MT962621,MT963063,MT963428
Cburrungandjii_AMR133444,University of Canberra Wildlife Tissue Collection,MT958296,MT963966,MT959236,MT959368,MT965300,-,-,MT964850,MT960750,MT961215,MT961707,MT962133,MT962622,MT963064,MT963429
Ccanni_657,University of Canberra Wildlife Tissue Collection,MT958297,MT963967,MT959241,MT959369,MT965436,-,-,MT964898,MT961005,MT961216,MT961708,MT962134,MT962623,MT963065,MT963430
Ccarbonaria_HBS117901,H.B Shaffer Collection,MT958298,MT963968,MT959167,MT959370,MT965142,MT959903,MT960317,MT964653,MT961024,MT961217,MT961709,MT962135,MT962624,MT963066,MT963431
Ccarbonaria_MVZ230499,Museum of Vertebrate Zoology,MT958299,MT963969,MT959168,MT959371,MT965408,-,MT960318,-,-,-,MT961710,MT962136,MT962625,-,-
